v.19.2.18,,,Trait category,MORPHOLOGY,,,,,LIFE HISTORY,,,,LIFE HISTORY,,,LIFE HISTORY,,LIFE HISTORY,,,,,LIFE HISTORY,,,LIFE HISTORY,,,,LIFE HISTORY,,,MOBILITY,,,MOBILITY,,,,MORPHOLOGY,,,MORPHOLOGY,,,,RESOURCE ACQUISITION,,,,,,RESOURCE ACQUISITION,,,MORPHOLOGY,,,,LIFE HISTORY,,
Diptera,Tanypodinae,Tanypodinae,Tanypodinae,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,2,2,2,0,2,2,0,0,0,3,3,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3
Diptera,Tanytarsini,Tanytarsus,Tanytarsus,3,0,0,0,0,2,2,0,0,0,0,3,3,0,0,3,0,0,0,3,0,3,0,3,0,0,0,3,0,0,0,3,0,3,0,1,0,0,3,0,0,3,0,0,1,0,3,0,0,0,0,3,3,0,0,0,0,0,3
Diptera,Thaumaleidae,Thaumaleidae,Thaumaleidae,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,3,0,3,0
Diptera,Tipulidae/Tipulinae,Zelandotipula,Zelandotipula,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,0,3,0,0,0,3,0,0,3,0,0,1,3,0,0,0,0,0,3,0,0,0,3,0,3,?
Ephemeroptera,Ameletopsidae,Ameletopsis,Ameletopsis perscitus,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,3,1,0,0,0,0,3,3,0,0,0,3,0,0,0,3,1,1,3,1,0,0,2,0,1,3,0,0,0,0,0,0,3,0,3,2,0,1,3,0,0,0,3,0
Ephemeroptera,Coloburiscidae,Coloburiscus,Coloburiscus humeralis,0,0,3,0,0,0,0,0,3,0,3,0,3,0,0,3,1,0,0,0,0,3,3,0,0,0,3,0,0,1,3,1,0,2,0,3,0,2,0,0,0,2,0,0,0,0,3,0,0,0,2,2,1,3,0,0,0,3,0
Ephemeroptera,Ichthybotidae,Ichthybotus,Ichthybotus bicolor,0,0,0,3,0,0,1,3,0,3,0,0,3,0,0,3,1,0,0,0,0,3,3,0,0,0,3,0,0,1,3,0,0,0,3,0,0,3,1,0,0,3,0,0,0,3,0,1,0,0,2,2,1,3,0,0,0,3,0
Ephemeroptera,Ichthybotidae,Ichthybotus,Ichthybotus hudsoni,0,0,0,3,0,0,1,3,0,3,0,0,3,0,0,3,1,0,0,0,0,3,3,0,0,0,3,0,0,1,3,0,0,0,3,0,0,3,1,0,0,3,0,0,0,3,0,1,0,0,2,2,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Acanthophlebia,Acanthophlebia cruentata,0,0,3,0,0,0,3,1,0,0,3,0,3,0,0,3,2,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,2,3,0,0,2,0,1,3,0,0,0,3,2,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Arachnocolus,Arachnocolus phillipsi,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,1,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Atalophlebioides,Atalophlebioides cromwelli,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,2,2,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Aupouriella,Aupouriella pohei,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,3,1,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Austroclima,Austroclima jollyae,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Austroclima,Austroclima sepia,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,1,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Austronella,Austronella planulata,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) angustum,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) atricolor,0,0,3,0,0,0,3,1,0,1,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) autumnale,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) branchiola,0,3,0,0,0,0,3,1,0,1,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,3,1,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) cerinum,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) fumosum,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) kiwa,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,3,1,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) lillii,0,3,0,0,0,0,3,1,0,0,3,1,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) magnum,0,0,3,0,0,0,3,1,2,0,2,2,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) myzobranchia,0,0,3,0,0,0,3,1,0,0,2,2,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) townsi,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) vernale,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Deleatidium) wardorum,0,3,0,0,0,0,3,1,0,0,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Penniketellum) cornutum,0,0,3,0,0,0,3,1,0,1,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Penniketellum) insolitum,0,0,3,0,0,0,3,1,0,1,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,3,1,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Deleatidium,Deleatidium (Penniketellum) patricki,0,0,3,0,0,0,3,1,0,1,3,0,3,0,1,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Isothraulus,Isothraulus abditus,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,2,2,0,3,1,0,0,3,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Mauiulus,Mauiulus aquilus,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,1,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Mauiulus,Mauiulus luma,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Neozephlebia,Neozephlebia scita,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Tepakia,Tepakia caligata,0,3,0,0,0,0,3,1,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,2,2,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia borealis,0,0,3,0,0,0,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia dentata,0,3,0,0,0,0,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,1,3,1,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia inconspicua,0,3,0,0,0,0,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia nebulosa,0,0,3,0,0,0,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia pirongia,0,0,3,0,0,0,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Hemiptera,Notonectidae,Anisops,Anisops,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,0,0,2,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0
Hemiptera,Corixidae,Diaprepocoris,Diaprepocoris zealandiae,0,3,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,3,3,2,0,0,3,0,0,2,1,3,0,0,3,0,0,2,0,0,2,2,0,0,3,0,3,0,0
Hemiptera,Hydrometridae,Hydrometra,Hydrometra risbeci,0,3,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,2,3,0,0,3,0,0,0,3,0,0,0,2,3,0,0,0,0,3,0,2,2,0,0,0,0,3,3,0,0
Hemiptera,Veliidae,Microvelia,Microvelia,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,water surface,0,0,3,0,0,0,1,3,0,0,0,0,0,3,0,2,2,0,0,0,0,3,3,0,0
Hemiptera,Mesoveliidae,Mniovelia,Mniovelia kuscheli,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,water surface,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,0,0
Hemiptera,Saldida,Saldula,Saldula,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,water surface,0,0,3,0,0,0,2,1,0,0,2,0,0,3,0,0,2,2,0,0,0,3,0,0,0
Hemiptera,Corixidae,Sigara,Sigara,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,2,0,0,3,0,3,0,0,0,3,0,0,0,3,3,2,0,0,3,0,0,0,1,3,0,0,2,0,0,1,0,0,2,2,0,0,3,0,3,0,0
Hirudinea,Glossiphoniidae,Alboglossiphonia,Alboglossiphonia heteroclita,0,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,3,3,0,3,0,0,3,0,0,0,0,3,0,3,2,1,3,1,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0
Hydridae,Hydra,Hydridae,Hydridae,3,3,1,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,3,3,0,1,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,2,2,0,3,0,0,0,3,0,0
Lepidoptera,Pyralidae,Hygraula,Hygraula nitens,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,3,0,1,0,2,2,0,0,3,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,0,3
Mecoptera,Nannochoristidae,Nannochorista,Nannochorista philpotti,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,3,0,2,2,0,0,3,0,3,2,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0
Mollusca,Lymnaeidae,Austropeplea,Austropeplea tomentosa,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,2,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Mollusca,Ancylidae,Ferrissia,Ferrissia,3,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,0,2,2,0,3,0,0,3,0,0,0,3,0,3,0,0,0,1,0,3,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0
Mollusca,Planorbidae,Gyraulus,Gyraulus corinna,3,0,0,0,0,3,0,0,0,0,2,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,2,0,1,3,0,0,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,3,0,0,0,3,0,0
Mollusca,Hydridellinae,Echyridella,Echyridella menziesii,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,2,2,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0
Mollusca,Latiidae,Latia,Latia neritoides,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,3,0,0,0,1,0,3,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0
Mollusca,Lymnaeidae,Pseudosuccinea,Pseudosuccinea columella,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,2,2,0,0,0,3,0,2,2,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Mollusca,Melanopsidae,Zemelanopsis,Zemelanopsis trifasciata ,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,3,2,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0
Mollusca,Planorbidae,Glyptophysa,Glyptophysa variabilis,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,2,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,2,0,2,3,0,0
Mollusca,Physidae,Physa,Physa acuta,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,2,0,2,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Mollusca,Sphaeriidae,Pisidium,Pisidium casertanum,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3 vivip,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0
Mollusca,Planorbidae,Planorbarius,Planorbarius,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,2,0,2,2,2,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Mollusca,Tateidae,Potamopyrgus,Potamopyrgus antipodarum,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,2,0,2,0,3 vivip,0,0,0,0,3,3,2,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0
Mollusca,Sphaeriidae,Sphaerium,Sphaerium novaezelandiae,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,3 vivip,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0
Nematoda,Nematoda,Nematoda,Nematoda,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,2,2,2,1,0,3,0,2,0,0,2,0,1,0,3,0,1,2,0,0,0,0,3,0,0,3,0,0,2,2,0,2,0,0,0,3,3,0,0,0,3,0,0
Nematomorpha,Nematomorpha,Gordioida,Gordioida,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,3,0,2,0,0,3,0,0,3,0,0,0,0,0,2,0,2,0,0,3,0,0,0,2,2,0
Nemertea,Nemertea,Prosorhocmidae,Prosorhocmidae,0,0,0,3,0,0,3,0,0,0,3,3,0,3,0,2,2,2,2,0,3,0,0,3,0,0,3,0,0,0,3,0,1,3,0,0,0,0,3,0,0,3,0,0,2,0,0,3,0,0,2,2,3,0,0,0,3,0,0
Neuroptera,Osmylidae,Kempynus,Kempynus,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,2,0
Odonata,Aeshnidae,Aeshna,Aeshna brevistyla,0,0,0,0,3,3,0,0,0,2,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,3,1,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Odonata,Corduliidae,Antipodochlora,Antipodochlora braueri,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,3,2,3,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Megaloptera,Corydalidae,Archichauliodes,Archichauliodes diversus,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,3,1,0,2,2,0,0,0,0,0,3,0,0,0,3,0,3,0,1,0,3,0
Odonata,Lestidae,Austrolestes,Austrolestes colensonis,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,3,3,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Odonata,Libellulidae,Diplacodes,Diplacodes bipunctata,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,3,3,3,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Odonata,Corduliidae,Hemicordulia,Hemicordulia australiae,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,3,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Odonata,Coenagrionidae,Ischnura,Ischnura aurora,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,0,3,1,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Odonata,Corduliidae,Procordulia,Procordulia,0,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,3,1,2,3,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Odonata,Petaluridae,Uropetala,Uropetala,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,3,0,1,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Odonata,Coenagrionidae,Xanthocnemis,Xanthocnemis zealandica,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,3,0,3,0,3,3,3,0,0,0,3,1,3,0,0,0,3,0,0,1,3,0,0,0,0,0,3,0,3,0,0,1,3,0,0,0,3,0
Oligochaeta,Oligochaeta,Eiseniella,Eiseniella,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0
Oligochaeta,Oligochaeta,Haplotaxidae,Haplotaxidae,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,1,3,0,0,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0
Oligochaeta,Oligochaeta,Lumbriculus,Lumbriculus variegatus,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,3,0,0,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0
Oligochaeta,Oligochaeta,Naididae,Naididae,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,0,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0
Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,2,2,2,2,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,1,0,0,0,3,3,1,0,0,3,0,0
Oligochaeta,Oligochaeta,Phreodrilidae,Phreodrilidae,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,1,3,0,0,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0
Oligochaeta,Oligochaeta,Stylodrilus,Stylodrilus heringianus,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,0,2,0,0,3,0,0,2,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0
Oligochaeta,Oligochaeta,Tubificidae,Tubificidae,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,1,3,0,0,3,0,0,2,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,3,1,0,0,3,0,0
Platyhelminthes,Platyhelminthes,Platyhelminthes,Platyhelminthes,0,0,3,0,0,3,0,0,0,0,1,3,0,3,0,0,0,2,0,0,3,0,0,3,0,0,3,0,0,2,2,0,0,3,0,3,0,0,3,0,3,1,0,0,1,0,0,3,0,0,2,2,3,0,0,0,3,0,0
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia spectabilis,0,3,0,0,0,0,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
Ephemeroptera,Leptophlebiidae,Zephlebia,Zephlebia tuberculata,0,3,0,0,0,0,2,2,0,0,3,0,3,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,2,2,0,0,3,0,0,0,2,0,1,3,0,0,0,3,0,0,0,0,0,0,3,1,3,0,0,0,3,0
